x,y,Aurora
34,37,4
34,38,3
34,39,2
34,40,1
34,89,1
34,147,1
34,148,1
34,149,3
34,150,4
34,151,7
34,152,10
34,153,13
34,154,17
34,155,20
34,156,22
34,157,24
34,158,24
34,159,23
34,160,22
34,161,20
34,162,18
34,163,15
34,164,12
34,165,10
34,166,7
34,167,5
34,168,4
34,169,2
34,170,1
34,171,1
35,0,5
35,2,7
35,3,9
35,4,10
35,5,12
35,6,14
35,7,16
35,8,19
35,9,21
35,10,24
35,11,27
35,12,30
35,13,33
35,14,35
35,15,37
35,16,38
35,17,39
35,18,40
35,19,41
35,20,41
35,21,42
35,22,42
35,23,41
35,24,40
35,25,39
35,26,37
35,27,35
35,28,32
35,29,29
35,30,25
35,31,22
35,32,18
35,33,14
35,34,11
35,35,8
35,36,6
35,37,4
35,38,3
